text,lemma,pos,coarse
Damit,damit,PROAV,ADV
Ihr,ihr,PPER,PRON
indess,Indess,NN,NOUN
erkennt,erkennen,VVFIN,VERB
",",--,"$,",PUNCT
woher,woher,PWAV,SCONJ
dieser,dieser,PDAT,DET
ganze,ganz,ADJA,ADJ
Irrthum,Irrthum,NE,PROPN
gekommen,kommen,VVPP,VERB
ist,sein,VAFIN,AUX
",",--,"$,",PUNCT
und,und,KON,CCONJ
weshalb,weshalb,PWAV,SCONJ
man,man,PIS,PRON
die,der,ART,DET
Lust,Lust,NN,NOUN
anklagt,anklagt,VVPP,VERB
und,und,KON,CCONJ
den,der,ART,DET
Schmerz,Schmerz,NN,NOUN
lobet,lobet,VVFIN,ADV
",",--,"$,",PUNCT
so,so,ADV,ADV
will,wollen,VMFIN,AUX
ich,ich,PPER,PRON
Euch,euch,PPER,PRON
Alles,alle,PIS,PRON
eröffnen,eröffnen,VVINF,VERB
und,und,KON,CCONJ
auseinander,auseinander,ADV,ADV
setzen,setzen,VVINF,VERB
",",--,"$,",PUNCT
was,wer,PRELS,PRON
jener,jener,PDAT,DET
Begründer,Begründer,NN,NOUN
der,der,ART,DET
Wahrheit,Wahrheit,NN,NOUN
und,und,KON,CCONJ
gleichsam,gleichsam,ADJD,ADV
Baumeister,Baumeister,NN,NOUN
des,der,ART,DET
glücklichen,glücklich,ADJA,ADJ
Lebens,Leben,NN,NOUN
selbst,selbst,ADV,ADV
darüber,darüber,PROAV,ADV
gesagt,sagen,VVPP,VERB
hat,haben,VAFIN,AUX
.,--,$.,PUNCT
Niemand,niemand,PIS,PRON
",",--,"$,",PUNCT
sagt,sagen,VVFIN,VERB
er,er,PPER,PRON
",",--,"$,",PUNCT
verschmähe,verschmähe,VVFIN,VERB
",",--,"$,",PUNCT
oder,oder,KON,CCONJ
hasse,hassen,VVFIN,VERB
",",--,"$,",PUNCT
oder,oder,KON,CCONJ
fliehe,fliehen,VVFIN,VERB
die,der,ART,DET
Lust,Lust,NN,NOUN
als,als,APPR,ADP
solche,solcher,PIS,PRON
",",--,"$,",PUNCT
sondern,sondern,KON,CCONJ
weil,weil,KOUS,SCONJ
grosse,groß,ADJA,ADJ
Schmerzen,Schmerz,NN,NOUN
ihr,ihr,PPER,PRON
folgen,folgen,VVFIN,VERB
",",--,"$,",PUNCT
wenn,wenn,KOUS,SCONJ
man,man,PIS,PRON
nicht,nicht,PTKNEG,PART
mit,mit,APPR,ADP
Vernunft,Vernunft,NN,NOUN
ihr,ihr,PPOSAT,DET
nachzugehen,nachzugeh,VVIZU,VERB
verstehe,verstehen,VVFIN,VERB
.,--,$.,PUNCT
Ebenso,ebenso,ADV,ADV
werde,werden,VAFIN,AUX
der,der,ART,DET
Schmerz,Schmerz,NN,NOUN
als,als,APPR,ADP
solcher,solcher,PIS,PRON
von,von,APPR,ADP
Niemand,Niemand,PIS,PRON
geliebt,lieben,VVPP,VERB
",",--,"$,",PUNCT
gesucht,suchen,VVPP,VERB
und,und,KON,CCONJ
verlangt,verlangen,VVPP,VERB
",",--,"$,",PUNCT
sondern,sondern,KON,CCONJ
weil,weil,KOUS,SCONJ
mitunter,mitunter,ADV,ADV
solche,solcher,PIAT,DET
Zeiten,Zeit,NN,NOUN
